sample,reg,snr,repeat,method,path,rms,peak,high_to_low_mid_energy,temporal_contrast_db
5,reg005,10,1,Original obs,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/baselines/raw_5.wav,0.004698539388192987,0.03948974609375,0.06864829063424417,1.542729172978936
5,reg005,10,3,Original obs,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/baselines/raw_5.wav,0.004698539388192987,0.03948974609375,0.06864829063424417,1.542729172978936
5,reg005,10,5,Original obs,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/baselines/raw_5.wav,0.004698539388192987,0.03948974609375,0.06864829063424417,1.542729172978936
5,reg005,10,7,Original obs,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/baselines/raw_5.wav,0.004698539388192987,0.03948974609375,0.06864829063424417,1.542729172978936
5,reg005,10,10,Original obs,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/baselines/raw_5.wav,0.004698539388192987,0.03948974609375,0.06864829063424417,1.542729172978936
5,reg005,10,15,Original obs,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/baselines/raw_5.wav,0.004698539388192987,0.03948974609375,0.06864829063424417,1.542729172978936
5,reg005,10,20,Original obs,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/baselines/raw_5.wav,0.004698539388192987,0.03948974609375,0.06864829063424417,1.542729172978936
5,reg005,10,1,Noisy ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_1/raw_noisy_mics.wav,0.0049691232823477535,0.041900634765625,0.12276546111277943,0.7790369003382566
5,reg005,10,3,Noisy ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_3/raw_noisy_mics.wav,0.004971142946834592,0.03900146484375,0.12147917259233869,0.7662174649193894
5,reg005,10,5,Noisy ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_5/raw_noisy_mics.wav,0.004973339905995287,0.040740966796875,0.12271484098260971,0.7694986093499117
5,reg005,10,7,Noisy ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_7/raw_noisy_mics.wav,0.004968203680182148,0.040069580078125,0.1219706740707362,0.7836800428683798
5,reg005,10,10,Noisy ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_10/raw_noisy_mics.wav,0.004969245009044318,0.03875732421875,0.12201333766058813,0.7569179294510529
5,reg005,10,15,Noisy ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_15/raw_noisy_mics.wav,0.004970918123906327,0.039215087890625,0.12164788859972511,0.7978256003395866
5,reg005,10,20,Noisy ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_20/raw_noisy_mics.wav,0.004965673544589348,0.03912353515625,0.12220751583061797,0.7633816281749999
5,reg005,10,1,SS ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_1/raw_SpecSub_ch1.wav,0.0053828167822113845,0.04595947265625,0.08608910340280072,1.3367425982453702
5,reg005,10,3,SS ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_3/raw_SpecSub_ch1.wav,0.005382618719800478,0.04296875,0.08510705488037636,1.3169854974338437
5,reg005,10,5,SS ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_5/raw_SpecSub_ch1.wav,0.005382243286118874,0.044403076171875,0.08547326317476131,1.3213874443395799
5,reg005,10,7,SS ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_7/raw_SpecSub_ch1.wav,0.005380472375493056,0.0440673828125,0.08544515739371288,1.3580825895829542
5,reg005,10,10,SS ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_10/raw_SpecSub_ch1.wav,0.0053805765007958455,0.043212890625,0.08530802319018163,1.3246224944430052
5,reg005,10,15,SS ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_15/raw_SpecSub_ch1.wav,0.0053814760389590596,0.04376220703125,0.08534321739602348,1.349131833007542
5,reg005,10,20,SS ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_20/raw_SpecSub_ch1.wav,0.005381898255606921,0.044281005859375,0.08518667628399595,1.312614937602472
5,reg005,10,1,SS+NMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_1/raw_SpecSub_BCI_NMCFLMS.wav,0.0053827990840937074,0.04632568359375,0.1269897514773433,1.0079196199917582
5,reg005,10,3,SS+NMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_3/raw_SpecSub_BCI_NMCFLMS.wav,0.005382592089168099,0.059967041015625,0.4451741006907151,0.9449728161615277
5,reg005,10,5,SS+NMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_5/raw_SpecSub_BCI_NMCFLMS.wav,0.005382123597315865,0.068939208984375,0.2503515898868405,0.8874116911354346
5,reg005,10,7,SS+NMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_7/raw_SpecSub_BCI_NMCFLMS.wav,0.005380369400348184,0.07513427734375,0.10121714796992912,0.84649314106366
5,reg005,10,10,SS+NMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_10/raw_SpecSub_BCI_NMCFLMS.wav,0.005380410704777196,0.0670166015625,0.03377372162787668,0.8419478350096155
5,reg005,10,15,SS+NMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_15/raw_SpecSub_BCI_NMCFLMS.wav,0.005381413933026789,0.06341552734375,0.009295868498038715,0.8191654688223572
5,reg005,10,20,SS+NMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_20/raw_SpecSub_BCI_NMCFLMS.wav,0.005381738470617747,0.061798095703125,0.004707098297939347,0.8148606334520045
5,reg005,10,1,SS+RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_1/raw_SpecSub_BCI_RNMCFLMS.wav,0.005382823379047803,0.043548583984375,0.08613594565357137,1.0264237761908115
5,reg005,10,3,SS+RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_3/raw_SpecSub_BCI_RNMCFLMS.wav,0.005382587944678927,0.054656982421875,0.2120492305839701,0.9731005183869379
5,reg005,10,5,SS+RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_5/raw_SpecSub_BCI_RNMCFLMS.wav,0.005382196710537989,0.056427001953125,0.2869923536070096,1.0097408764784561
5,reg005,10,7,SS+RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_7/raw_SpecSub_BCI_RNMCFLMS.wav,0.005380447100056531,0.0577392578125,0.3310376333199767,0.9611204766173038
5,reg005,10,10,SS+RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_10/raw_SpecSub_BCI_RNMCFLMS.wav,0.005380524842456584,0.058563232421875,0.3673270215266715,0.9688027388912664
5,reg005,10,15,SS+RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_15/raw_SpecSub_BCI_RNMCFLMS.wav,0.005381436180744835,0.0634765625,0.3872013940980037,0.9582708882555915
5,reg005,10,20,SS+RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_20/raw_SpecSub_BCI_RNMCFLMS.wav,0.0053818425357333765,0.0653076171875,0.3866097394354177,0.9544352667713215
5,reg005,10,1,SS+$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_1/raw_SpecSub_BCI_Lp_p=1.0.wav,0.005382819217975629,0.044891357421875,0.10599341157166642,1.0223426952014951
5,reg005,10,3,SS+$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_3/raw_SpecSub_BCI_Lp_p=1.0.wav,0.00538257612164766,0.055908203125,0.3065378649420798,0.9848292458679325
5,reg005,10,5,SS+$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_5/raw_SpecSub_BCI_Lp_p=1.0.wav,0.005382200855869168,0.0592041015625,0.4230652505546646,0.9754799247543822
5,reg005,10,7,SS+$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_7/raw_SpecSub_BCI_Lp_p=1.0.wav,0.005380454837348317,0.05828857421875,0.48923174272667047,0.9105524924554592
5,reg005,10,10,SS+$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_10/raw_SpecSub_BCI_Lp_p=1.0.wav,0.00538053521062142,0.059356689453125,0.5377773459244555,0.9231061486672888
5,reg005,10,15,SS+$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_15/raw_SpecSub_BCI_Lp_p=1.0.wav,0.005381433712987077,0.06146240234375,0.545771772723998,0.9110693695178387
5,reg005,10,20,SS+$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_20/raw_SpecSub_BCI_Lp_p=1.0.wav,0.005381831462207063,0.06207275390625,0.5186809832665126,0.8818583681412177
5,reg005,10,1,SS+E$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_1/raw_SpecSub_BCI_ELp_p=1.0.wav,0.005382819217975629,0.044891357421875,0.10599341157166642,1.0223426952014951
5,reg005,10,3,SS+E$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_3/raw_SpecSub_BCI_ELp_p=1.0.wav,0.00538257612164766,0.055908203125,0.3065378649420798,0.9848292458679325
5,reg005,10,5,SS+E$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_5/raw_SpecSub_BCI_ELp_p=1.0.wav,0.005382200855869168,0.0592041015625,0.4230652505546646,0.9754799247543822
5,reg005,10,7,SS+E$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_7/raw_SpecSub_BCI_ELp_p=1.0.wav,0.005380449755424493,0.058441162109375,0.4903079102021868,0.9104453870073722
5,reg005,10,10,SS+E$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_10/raw_SpecSub_BCI_ELp_p=1.0.wav,0.005380557556631622,0.058013916015625,0.521259723787113,0.8975093688788741
5,reg005,10,15,SS+E$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_15/raw_SpecSub_BCI_ELp_p=1.0.wav,0.005381468178207073,0.0634765625,0.5121278447186011,0.8124429831530907
5,reg005,10,20,SS+E$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_20/raw_SpecSub_BCI_ELp_p=1.0.wav,0.005381827061343328,0.06451416015625,0.49281944216679135,0.7959987610129929
5,reg005,10,1,SS+Oracle MINT,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_1/raw_SpecSub_Oracle_MINT.wav,0.005382924408417222,0.034881591796875,0.031101981190791182,0.9207788797588093
5,reg005,10,3,SS+Oracle MINT,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_3/raw_SpecSub_Oracle_MINT.wav,0.005382623198418413,0.03399658203125,0.03133240280876174,0.9317043625725986
5,reg005,10,5,SS+Oracle MINT,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_5/raw_SpecSub_Oracle_MINT.wav,0.005382302243532981,0.035919189453125,0.031157761490366587,0.9260303973045465
5,reg005,10,7,SS+Oracle MINT,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_7/raw_SpecSub_Oracle_MINT.wav,0.005380529474813166,0.034942626953125,0.031421502503713325,0.9176279953766071
