sample,reg,snr,repeat,method,path,rms,peak,high_to_low_mid_energy,temporal_contrast_db
5,reg005,10,1,Original obs,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/baselines/raw_5.wav,0.004698539388192987,0.03948974609375,0.06864829063424417,1.542729172978936
5,reg005,10,3,Original obs,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/baselines/raw_5.wav,0.004698539388192987,0.03948974609375,0.06864829063424417,1.542729172978936
5,reg005,10,5,Original obs,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/baselines/raw_5.wav,0.004698539388192987,0.03948974609375,0.06864829063424417,1.542729172978936
5,reg005,10,7,Original obs,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/baselines/raw_5.wav,0.004698539388192987,0.03948974609375,0.06864829063424417,1.542729172978936
5,reg005,10,10,Original obs,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/baselines/raw_5.wav,0.004698539388192987,0.03948974609375,0.06864829063424417,1.542729172978936
5,reg005,10,15,Original obs,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/baselines/raw_5.wav,0.004698539388192987,0.03948974609375,0.06864829063424417,1.542729172978936
5,reg005,10,20,Original obs,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/baselines/raw_5.wav,0.004698539388192987,0.03948974609375,0.06864829063424417,1.542729172978936
5,reg005,10,1,Noisy ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_1/raw_Unprocessed_ch1.wav,0.0049691232823477535,0.041900634765625,0.12276546111277943,0.7790369003382566
5,reg005,10,3,Noisy ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_3/raw_Unprocessed_ch1.wav,0.004971142946834592,0.03900146484375,0.12147917259233869,0.7662174649193894
5,reg005,10,5,Noisy ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_5/raw_Unprocessed_ch1.wav,0.004973339905995287,0.040740966796875,0.12271484098260971,0.7694986093499117
5,reg005,10,7,Noisy ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_7/raw_Unprocessed_ch1.wav,0.004968203680182148,0.040069580078125,0.1219706740707362,0.7836800428683798
5,reg005,10,10,Noisy ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_10/raw_Unprocessed_ch1.wav,0.004969245009044318,0.03875732421875,0.12201333766058813,0.7569179294510529
5,reg005,10,15,Noisy ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_15/raw_Unprocessed_ch1.wav,0.004970918123906327,0.039215087890625,0.12164788859972511,0.7978256003395866
5,reg005,10,20,Noisy ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_20/raw_Unprocessed_ch1.wav,0.004965673544589348,0.03912353515625,0.12220751583061797,0.7633816281749999
5,reg005,10,1,NMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_1/raw_BCI_NMCFLMS.wav,0.005382832991241989,0.047271728515625,0.15541674512169254,0.9295710195823144
5,reg005,10,3,NMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_3/raw_BCI_NMCFLMS.wav,0.0053826226593407306,0.062713623046875,0.43296448044734603,0.8812737116899162
5,reg005,10,5,NMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_5/raw_BCI_NMCFLMS.wav,0.005382174808795878,0.068389892578125,0.13646197372343558,0.8291600328564006
5,reg005,10,7,NMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_7/raw_BCI_NMCFLMS.wav,0.00538044031801687,0.05963134765625,0.04547464086878901,0.8013501149057095
5,reg005,10,10,NMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_10/raw_BCI_NMCFLMS.wav,0.0053804523599448595,0.0645751953125,0.013124248944239547,0.7927537312068836
5,reg005,10,15,NMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_15/raw_BCI_NMCFLMS.wav,0.005381451700605895,0.06243896484375,0.004618405418657446,0.7857736702116548
5,reg005,10,20,NMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_20/raw_BCI_NMCFLMS.wav,0.005381821714110589,0.056884765625,0.0022646492904939237,0.7620689373508713
5,reg005,10,1,RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_1/raw_BCI_RNMCFLMS.wav,0.005382840190373822,0.04296875,0.10092655226087129,0.9337129548149805
5,reg005,10,3,RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_3/raw_BCI_RNMCFLMS.wav,0.005382613450674401,0.055572509765625,0.22722548674809043,0.9044456023299586
5,reg005,10,5,RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_5/raw_BCI_RNMCFLMS.wav,0.005382215693273504,0.055755615234375,0.3039600427711439,0.937535425130901
5,reg005,10,7,RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_7/raw_BCI_RNMCFLMS.wav,0.005380463225351948,0.05816650390625,0.3403918037002187,0.9136890523903364
5,reg005,10,10,RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_10/raw_BCI_RNMCFLMS.wav,0.0053805536950927765,0.05584716796875,0.36252173979350655,0.9231387858867743
5,reg005,10,15,RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_15/raw_BCI_RNMCFLMS.wav,0.005381513842336656,0.061279296875,0.38516028287434323,0.9163665517509567
5,reg005,10,20,RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_20/raw_BCI_RNMCFLMS.wav,0.005381815308023598,0.062469482421875,0.3712425826957715,0.8968286744971851
5,reg005,10,1,$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_1/raw_BCI_Lp_p=1.0.wav,0.005382814577316629,0.044586181640625,0.12608460676682284,0.9338914834436146
5,reg005,10,3,$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_3/raw_BCI_Lp_p=1.0.wav,0.005382612516884151,0.05792236328125,0.3548252358386578,0.9155926344506985
5,reg005,10,5,$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_5/raw_BCI_Lp_p=1.0.wav,0.005382201574515483,0.059356689453125,0.4634783672612645,0.9102629389433029
5,reg005,10,7,$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_7/raw_BCI_Lp_p=1.0.wav,0.00538046346876451,0.058074951171875,0.5175451347704858,0.8787366127616592
5,reg005,10,10,$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_10/raw_BCI_Lp_p=1.0.wav,0.005380523519389037,0.0589599609375,0.5445586355742131,0.8874391264984733
5,reg005,10,15,$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_15/raw_BCI_Lp_p=1.0.wav,0.005381488135354909,0.059783935546875,0.542828212753193,0.8662707848800815
